movieId,title,overview,genres,keywords,releaseDate,voteAverage,voteCount,posterPath,director
11392,The Olsen Gang Sees Red,"Egon and the gang are hired to stage a robbery of an antique Chinese vase for an economically challenged baron. Naturally they fooled, which infuriates Egon. The gang tries to get back at the baron by switching the vase with a cheap Hong Kong copy. One attempt is made during the barons hunting party, where Egon ends up being bricked up in the catacombs. In another attempt, the gang has to coordinate breaking through several walls at The Royal Theater in Copenhagen with the ""Elverhøj"" overture.","[10751, 35, 80]","prison, robbery, gang of thieves, vase, pregnancy, the olsen gang",1976-10-01,7.7,14.0,/i8PtINTFHJKlOIw78M7z3WahhMq.jpg,Erik Balling
16039,Zappa,"Denmark, 1961. Bjørn, a middle-class boy in his early teens, wants to be accepted by Steen, a bullying peer of his with wealthy but freezingly cold parents. Bjørn's other good friend is Mulle, a cheerful and more childish working-class boy. All three seem friends at first, but gradually Steen starts pushing Mulle away while pulling the impressionable Bjørn with him towards more and more violence.",[18],coming of age,1983-03-04,7.3,14.0,/sVlxMRMdwhHxsHKBKhjvtz6jOJy.jpg,Bille August
20661,Twist and Shout,"Danish teens come of age in 1963. Bjorn and Erik are close friends. Bjorn is pursued by Kirsten, a future Stepford wife, but he falls for Anna, who initiates him into love and sex. Erik is somber, caring for his home-bound mentally-ill mother while his strict father rules his life. He desires Kirsten, but she's unattainable. Pregnancy, a horrific abortion, an engagement party, and a revelation about the rectitude of Erik's father lead to a climax: Bjorn and Erik must stand up to controlling adults.","[35, 18]",,1984-12-26,6.4,8.0,/jusLVnvWOWTB1pFUFNTGpPdGWCW.jpg,Bille August
11390,The Olsen Gang in Jutland,"The Olsen gang in Jutland. Ones again Egon Olsen has a plan when he gets out of Vridslose State Prison. He has found out that the Germans left a large sum of money (in American dollars and gold bars) in one of their commando bunkers, when they were defeated in 1945; the only problem it's in Jutland. Egon, Benny and Kjeld ""appropriate"" a car and drives to Jutland along with Kjelds wife and child Yvonne and Borge. They look forward to fooling the the people in Jutland, but of course, things don't go quite as planed. It ends with Benny, Kjeld, Borge and Yvonne sitting in the train back to Copenhagen, were they are overtaken by Egon in his car on the road next to the track. This is the last time the Olsen gang goes to Jutland.","[10751, 35, 80]","fort, treasure hunt, crook, danish, the olsen gang",1971-10-08,7.3,10.0,/lpQNR02pqXynd8fXh0v3mCYIcMV.jpg,Erik Balling
76312,Me and Charly,"Steffen is a good kid, a teenager who has recently finished school and is looking for work. He lives with his widowed mother, a newspaper reporter. Very little throws him off his stride, whether it is his girlfriend's jealousy of his friendship with Charly, a reform-school boy, or his mother's drunken, playful amorousness one night, because he reminds her of his father.",[18],,1978-03-19,7.4,5.0,/pXbpAHpLrQYeTynBwU4bVgG3TJ9.jpg,Henning Kristiansen
324284,Lamb,"Lamb, based on the novel by Bonnie Nadzam, traces the self-discovery of David Lamb in the weeks following the disintegration of his marriage and the death of his father. Hoping to regain some faith in his own goodness, he turns his attention to Tommie, an awkward and unpopular eleven-year-old girl. Lamb is convinced that he can help her avoid a destiny of apathy and emptiness, and takes Tommie for a road trip from Chicago to the Rockies, planning to initiate her into the beauty of the mountain wilderness. The journey shakes them in ways neither expects.",[18],,2016-01-08,6.8,21.0,/aj0pgKR4dWlRRb1Q05JGQtwxHbj.jpg,Ross Partridge
391617,Kóblic,"Tomás Kóblic, a former pilot and captain of the Argentinian Navy, disobeys an order and becomes a fugitive in order to survive. He chooses to hide in a small town in the south of the country, where his presence will catch the attention of the unscrupulous and violent local marshal.","[18, 53]","pilot, airplane, fugitive, haunted by the past, dirty war",2016-04-14,6.3,15.0,/aTpSCZ8VaqSyUkI3PhEQIHnYzbC.jpg,Sebastián Borensztein
37433,Neo Tokyo,"Three shorts directed by the same names that brought you Metropolis, Ninja Scroll, and Akira. It begins with “Labyrinth Labyrintos”, a story of a maze in a child's mind, directed by Rintaro. Next Yoshiaki Kawajiri gives us “The Running Man”. This is a futuristic formula one race is set on a deadly track. Lastly Katsuhiro Ôtomo describes a struggle to shut down an entirely automated facility in “Construction Cancellation Order“.","[27, 878, 16, 12, 14]","cat, future, clown, swamp, reporter, robot, trilogy, construction, future sport, flood, desolation, construction worker, race cars, race car crash",1989-04-15,6.6,12.0,/3tQqkfhE2v03OXK4ocxKQ4rnkaC.jpg,Rintaro
47408,Rampo Noir,"Mars Canal - Within absolute silence, a naked man wanders through a dark and depressing landscape recalling the excruciating details of his last encounter with his former lover. Mirror Hell - When a series of women are discovered with their faces burnt and skulls charred, a young detective investigates, discovering that a unique hand mirror is always found at the scene. Caterpillar - A war hero returns home with no limbs and only his eyesight remaining. His beautiful wife, tired of taking care of him, turns to torturing her crippled husband for amusement. Crawling Bugs - A sexy actress is returning home from a successful night on stage, until her limo driver decides that she should be coming home with him.","[14, 27, 53]","based on novel, anthology, ero guro",2005-05-11,5.6,8.0,/xktqY1aq0944nlcAcXcQt38XOpn.jpg,Akio Jissoji
14233,Film Noir,Private detective Sam Ruben's clever plan falls apart with the onset of amnesia. Everyone is trying to kill him and he doesn't know why. The classic film noir milieu now comes to you in the form of an animated feature.,"[9648, 16, 80]","amnesia, nudity",2007-03-02,6.3,5.0,/kRhkpxct1dNv8vot6f59A241sfW.jpg,D. Jud Jones
48417,The Stool Pigeon,"Living in the guilt of sacrificing his informant in a previous operation, Criminal Intelligence Inspector Don Lee is wary when his superior orders him to send another informant to spy on the criminal operations of Barbarian, a vicious gangster plotting a jewelry heist. He seeks ex-convict Ghost, who agrees to work for Don despite vowing to go straight since he's desperately in need of money to repay a debt and save his sister. Ghost's driving skills help him infiltrate Barbarian's gang and earn his trust, but by feeding information to Don and hooking up with Barbarian's girlfriend Dee, Ghost is pushing himself into a tight and deadly corner...","[53, 18, 28]",,2010-08-26,5.4,16.0,/yWZJOHIOy3osra6fwX8RpzFKFtu.jpg,Dante Lam
347031,Swiss Army Man,"Alone on a tiny deserted island, Hank has given up all hope of ever making it home again. But one day everything changes when a dead body washes ashore, and he soon realizes it may be his last opportunity to escape certain death. Armed with his new “friend” and an unusual bag of tricks, the duo go on an epic adventure to bring Hank back to the woman of his dreams.","[35, 18, 10749, 14, 12]","beach, survival, dead body, corpse, deserted island, weird, friend",2016-06-24,6.8,839.0,/8pxn8CQ6SD6tly75lrKw08wfZKv.jpg,Dan Kwan
367416,The von Trapp Family: A Life of Music,"Agathe von Trapp, the eldest daughter of a well-known musical family, overcomes many obstacles to pursue her musical career and move to the United States.","[18, 10402]",family,2015-11-12,5.5,6.0,/62Zm67du0RNALUmBFkSjAAWnEof.jpg,Ben Verbong
378348,A Violent Prosecutor,"After a prosecution lawyer is framed and convicted for murder, he tries to catch the real murderer from jail with the help of a con artist.","[80, 35]","prison, comedy, swindler, buddy, prosecutor, korean movie",2016-02-03,7.6,25.0,/pA4MoUac4jlCbASIvkzB0YZ2RWu.jpg,Lee Il-hyeong
40534,Jonas Brothers: The Concert Experience,"Secure your VIP pass to a once-in-a-lifetime experience with the Jonas Brothers. Get ready to hang out with this multitalented trio, and take an intimate look at what their lives are like offstage and behind the scenes.",[],duringcreditsstinger,2009-02-27,5.7,23.0,/gUgLeFsVDuOQdzZkLW4IRw0FICb.jpg,Bruce Hendricks
102961,Seven,A government agent discovers a plot by a cartel of seven gangsters to take over the state of Hawaii. He hires a team of seven hitmen to stop them.,"[28, 18]","female nudity, assassin, girls with guns",1979-09-07,5.9,8.0,/btiZ1zyHY1EzlPnrKKN3sWc4NcU.jpg,Andy Sidaris
339148,Already Tomorrow in Hong Kong,"An attraction forms when a Chinese American girl visiting Hong Kong for the first time meets an American expat who shows her the way, but timing may not quite be on their side.","[10749, 35]","hong kong, expatriate, woman director",2015-06-12,5.7,38.0,/t29XqPXlN5LBtzBoRo2pDsljrou.jpg,Emily Ting
